,in_station,14,13,12,11,10,9,8,7,6,5,4,3,2
0,14,0,338,-1,494,520,696,783,945,1305,-1,1470,1538,1630
1,15,191,375,-1,616,688,-1,1095,-1,-1,-1,-1,-1,1927
2,16,273,443,-1,688,779,1091,1108,1240,1484,-1,1744,1889,1954
3,17,424,639,-1,956,937,1202,1363,1434,-1,-1,-1,1945,2093
4,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,19,706,955,-1,1356,1265,1516,1540,1905,-1,-1,-1,2616,2489
6,20,1411,1635,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,21,1242,1453,1746,1876,1858,-1,2506,2524,-1,-1,-1,3514,3188
8,22,1473,1875,-1,2251,2100,-1,2568,-1,-1,-1,-1,3578,4041
9,23,1552,1716,1985,2025,2083,2553,2478,2593,2757,-1,3163,3374,3252
